patientid,firstname,lastname,middlename,ssn,phonenumber,gender,dateofbirth,address,modifieddate,source_hospital,unified_patient_id,insurance,email,email_valid,data_quality_flag,age,year,month,quarter,dayofweek
HOSP1-000001,Rick,Russo,U,188-23-9828,163082975850769,Female,1937-06-04,"Unit 0915 Box 7064, DPO AA 82777",2020-05-25,hospital_a,A-HOSP1-000001,,,False,Invalid Email,88,2020,5,2,Monday
HOSP1-000002,Gregory,Graham,B,730-45-8217,456746728969233,Female,1937-06-10,"9864 Gibson Islands, Danielside, KY 99809",2021-06-05,hospital_a,A-HOSP1-000002,,,False,Invalid Email,88,2021,6,2,Saturday
HOSP1-000003,Mary,Ryan,H,348-14-7947,5225015461,Female,1926-08-09,"6194 Joseph Turnpike, North Juan, OH 46800",2024-09-06,hospital_a,A-HOSP1-000003,,,False,Invalid Email,99,2024,9,3,Friday
HOSP1-000004,Daniel,Brown,D,013-38-1645,13456089409,Male,1971-10-23,"780 Conrad Isle, Pricebury, KS 61167",2022-04-07,hospital_a,A-HOSP1-000004,,,False,Invalid Email,53,2022,4,2,Thursday
HOSP1-000005,Brad,Carroll,M,461-53-6290,96399429696232,Male,1927-10-18,"3167 Hall Burg, Tannertown, IL 03017",2022-06-19,hospital_a,A-HOSP1-000005,,,False,Invalid Email,97,2022,6,2,Sunday
HOSP1-000006,Melissa,Lester,Y,359-88-6883,511940309795946,Female,1994-03-22,"542 Rogers Divide, South Amy, RI 23000",2022-09-24,hospital_a,A-HOSP1-000006,,,False,Invalid Email,31,2022,9,3,Saturday
HOSP1-000007,Stephanie,Griffin,Q,879-32-6527,31375389920867,Male,1957-03-10,"3952 Le Highway, Frenchbury, SC 21179",2021-06-16,hospital_a,A-HOSP1-000007,,,False,Invalid Email,68,2021,6,2,Wednesday
HOSP1-000008,Sandra,Holt,L,148-25-8251,13352295080,Female,2024-07-31,"5102 Thompson Locks Suite 182, Port Jenniferborough, NC 93111",2020-03-23,hospital_a,A-HOSP1-000008,,,False,Invalid Email,1,2020,3,1,Monday
HOSP1-000009,Austin,Cline,H,219-06-7294,0018996553369486,Male,2001-11-16,"465 Flores Forest, Port Paul, NJ 44109",2024-05-22,hospital_a,A-HOSP1-000009,,,False,Invalid Email,23,2024,5,2,Wednesday
HOSP1-000010,Ryan,Hall,A,425-22-5742,9627071206023,Female,1983-05-06,"915 Joseph Walks Suite 592, Rhodesberg, FL 43049",2020-01-07,hospital_a,A-HOSP1-000010,,,False,Invalid Email,42,2020,1,1,Tuesday
HOSP1-000011,Catherine,Campbell,S,168-04-0477,6725501528,Female,1957-05-15,"241 Elizabeth Causeway Suite 098, Garzaport, NE 22393",2024-07-07,hospital_a,A-HOSP1-000011,,,False,Invalid Email,68,2024,7,3,Sunday
HOSP1-000012,Alison,Kelley,O,062-39-3003,00188385881663638,Female,1987-09-29,"Unit 8779 Box 9530, DPO AE 85117",2022-08-02,hospital_a,A-HOSP1-000012,,,False,Invalid Email,37,2022,8,3,Tuesday
HOSP1-000013,Jessica,Hill,A,751-29-5160,9557593792,Male,1940-04-04,"482 William Ridges, Jenniferville, MT 89133",2022-12-13,hospital_a,A-HOSP1-000013,,,False,Invalid Email,85,2022,12,4,Tuesday
HOSP1-000014,Anthony,Shannon,U,849-01-2096,866772070749171,Female,1978-10-22,"3216 Mary Corners Apt. 089, New Maryfort, ME 46780",2023-05-15,hospital_a,A-HOSP1-000014,,,False,Invalid Email,46,2023,5,2,Monday
HOSP1-000015,Shane,Burton,Y,385-57-3457,3313331918,Female,1981-11-16,"91333 Brown Gateway Apt. 757, Smithstad, SD 19534",2021-04-09,hospital_a,A-HOSP1-000015,,,False,Invalid Email,43,2021,4,2,Friday
HOSP1-000016,Amanda,Villa,W,142-70-0521,16402597794,Female,1928-04-29,"7826 Bryan Hills Suite 545, West Lauraville, PW 58431",2022-04-01,hospital_a,A-HOSP1-000016,,,False,Invalid Email,97,2022,4,2,Friday
HOSP1-000017,Victor,Novak,W,724-17-4374,1876633511010083,Male,2011-02-15,"18016 Juan Mountains Apt. 095, Carlashire, HI 14542",2021-10-14,hospital_a,A-HOSP1-000017,,,False,Invalid Email,14,2021,10,4,Thursday
HOSP1-000018,Brianna,Perez,U,123-43-4444,9545739977888,Male,1971-07-19,"962 Mejia Mountains, Tammyberg, NV 09909",2020-01-28,hospital_a,A-HOSP1-000018,,,False,Invalid Email,54,2020,1,1,Tuesday
HOSP1-000019,Eric,Morton,Z,211-64-0672,7027814559,Female,1937-09-12,"8128 Anna Center Suite 783, New Christopher, ME 71397",2021-12-20,hospital_a,A-HOSP1-000019,,,False,Invalid Email,87,2021,12,4,Monday
HOSP1-000020,Brian,Jensen,B,464-59-3213,6058839645522,Female,1965-10-15,"98364 Pruitt Pines Apt. 285, Carlytown, AL 51078",2023-01-14,hospital_a,A-HOSP1-000020,,,False,Invalid Email,59,2023,1,1,Saturday
HOSP1-000021,Samantha,Green,Z,462-35-0443,149720817000939,Female,1976-05-01,"Unit 0825 Box 5053, DPO AP 23718",2023-05-04,hospital_a,A-HOSP1-000021,,,False,Invalid Email,49,2023,5,2,Thursday
HOSP1-000022,Rebecca,King,M,881-70-2301,4234058208,Male,1940-10-21,"1568 Johnston Wells, New Lisafort, MD 85830",2021-08-16,hospital_a,A-HOSP1-000022,,,False,Invalid Email,84,2021,8,3,Monday
HOSP1-000023,Lisa,Hill,E,143-48-3128,7022700554,Female,2008-11-20,"634 Christopher Courts Apt. 117, North Melissa, AR 56934",2023-12-25,hospital_a,A-HOSP1-000023,,,False,Invalid Email,16,2023,12,4,Monday
HOSP1-000024,Wayne,Peterson,H,596-01-0564,91141665384991,Male,2005-01-08,"25003 Whitehead Brook Apt. 734, West Lindaside, RI 94300",2024-02-14,hospital_a,A-HOSP1-000024,,,False,Invalid Email,20,2024,2,1,Wednesday
HOSP1-000025,George,Evans,G,473-97-8698,642478101223091,Male,2015-03-14,"27278 Kirby Mountain Suite 151, Jamesstad, NE 86586",2020-07-28,hospital_a,A-HOSP1-000025,,,False,Invalid Email,10,2020,7,3,Tuesday
HOSP1-000026,Nathaniel,Casey,P,757-42-1536,2407125654,Female,2016-08-29,"63238 Hudson Ways, Floresfurt, UT 38826",2023-02-09,hospital_a,A-HOSP1-000026,,,False,Invalid Email,8,2023,2,1,Thursday
HOSP1-000027,Melinda,Norman,R,002-05-9417,001850446214715040,Female,2023-11-29,"847 Orozco Orchard, Port Rebeccahaven, ME 64199",2023-02-27,hospital_a,A-HOSP1-000027,,,False,Invalid Email,1,2023,2,1,Monday
HOSP1-000028,Nicole,Hanson,S,229-63-6472,9578805800504,Male,2014-01-02,"024 Justin Fields, Wileyland, UT 55414",2024-08-06,hospital_a,A-HOSP1-000028,,,False,Invalid Email,11,2024,8,3,Tuesday
HOSP1-000029,Ryan,Young,X,094-17-8058,578397615550822,Female,1955-03-08,"4116 Conway Throughway, Pattersonmouth, CA 58742",2022-08-21,hospital_a,A-HOSP1-000029,,,False,Invalid Email,70,2022,8,3,Sunday
HOSP1-000030,Laura,Decker,D,427-58-3832,2936287164,Male,1933-03-11,"53006 Hawkins Parks Apt. 433, Adamtown, MT 12954",2024-08-27,hospital_a,A-HOSP1-000030,,,False,Invalid Email,92,2024,8,3,Tuesday
HOSP1-000031,Joshua,Wilson,P,069-18-3719,239740731444461,Male,1982-03-09,"347 Alex Land Suite 285, Chavezhaven, WV 80847",2022-06-16,hospital_a,A-HOSP1-000031,,,False,Invalid Email,43,2022,6,2,Thursday
HOSP1-000032,Michael,Garcia,V,577-26-7324,219679664245620,Female,2006-05-24,"944 Theodore Cove, Galvanview, MP 06510",2020-12-04,hospital_a,A-HOSP1-000032,,,False,Invalid Email,19,2020,12,4,Friday
HOSP1-000033,Rachel,Martinez,Z,375-84-8318,5108772860235,Male,1977-07-22,"45625 Theresa Radial Apt. 563, Cindyton, AR 01029",2020-03-29,hospital_a,A-HOSP1-000033,,,False,Invalid Email,48,2020,3,1,Sunday
